,level_0,index,dataset,framing,learning_rate,batch_size,max_epochs,seed,best_val_accuracy,exp_name,best_iter,current_iter,total_iter,early_stop
39,61,61,wsc-spacy,P-SPAN,2e-05,8,40,384382,0.6826923076923077,wsc-spacy_P-SPAN_lr_2e-05_bs_8_max-epochs_40_seed_384382,1518.0,2770.0,2770.0,False
40,62,62,wsc-spacy,P-SPAN,1e-05,32,20,196643,0.6826923076923077,wsc-spacy_P-SPAN_lr_1e-05_bs_32_max-epochs_20_seed_196643,272.0,346.0,346.0,False
41,63,63,wsc-spacy,P-SPAN,1e-05,8,10,902681,0.6538461538461539,wsc-spacy_P-SPAN_lr_1e-05_bs_8_max-epochs_10_seed_902681,690.0,692.0,692.0,False
42,64,64,wsc-spacy,P-SPAN,1e-05,8,10,469351,0.6538461538461539,wsc-spacy_P-SPAN_lr_1e-05_bs_8_max-epochs_10_seed_469351,690.0,692.0,692.0,False
43,65,65,wsc-spacy,P-SPAN,1e-05,16,20,175906,0.6538461538461539,wsc-spacy_P-SPAN_lr_1e-05_bs_16_max-epochs_20_seed_175906,646.0,692.0,692.0,False
44,66,66,wsc-spacy,P-SPAN,2e-05,64,20,108726,0.6442307692307693,wsc-spacy_P-SPAN_lr_2e-05_bs_64_max-epochs_20_seed_108726,88.0,173.0,173.0,False
45,67,67,wsc-spacy,P-SPAN,2e-05,16,20,870171,0.6442307692307693,wsc-spacy_P-SPAN_lr_2e-05_bs_16_max-epochs_20_seed_870171,34.0,692.0,692.0,False
46,69,69,wsc-spacy,P-SPAN,2e-05,64,20,799420,0.6442307692307693,wsc-spacy_P-SPAN_lr_2e-05_bs_64_max-epochs_20_seed_799420,160.0,173.0,173.0,False
47,70,70,wsc-spacy,P-SPAN,1e-05,64,10,31493,0.6346153846153846,wsc-spacy_P-SPAN_lr_1e-05_bs_64_max-epochs_10_seed_31493,8.0,86.0,86.0,False
48,71,71,wsc-spacy,P-SPAN,2e-05,8,10,589654,0.6346153846153846,wsc-spacy_P-SPAN_lr_2e-05_bs_8_max-epochs_10_seed_589654,69.0,692.0,692.0,False
49,72,72,wsc-spacy,P-SPAN,2e-05,16,40,221430,0.6346153846153846,wsc-spacy_P-SPAN_lr_2e-05_bs_16_max-epochs_40_seed_221430,306.0,1020.0,1385.0,True
